01-Enero-2018 => Estacion: Cotocollao;0.74;31.2
02-Enero-2018 => Estacion: Cotocollao;0.96;27.95
03-Enero-2018 => Estacion: Cotocollao;1.08;27.79
04-Enero-2018 => Estacion: Cotocollao;0.82;25.72
05-Enero-2018 => Estacion: Cotocollao;1.06;25.28
06-Enero-2018 => Estacion: Cotocollao;1.09;23.25
07-Enero-2018 => Estacion: Cotocollao;0.72;20.59
08-Enero-2018 => Estacion: Cotocollao;0.64;19.8
09-Enero-2018 => Estacion: Cotocollao;0.92;26.42
10-Enero-2018 => Estacion: Cotocollao;0.92;24.96
11-Enero-2018 => Estacion: Cotocollao;0.81;23.33
12-Enero-2018 => Estacion: Cotocollao;0.71;24.62
13-Enero-2018 => Estacion: Cotocollao;0.62;24.38
14-Enero-2018 => Estacion: Cotocollao;0.57;15.93
15-Enero-2018 => Estacion: Cotocollao;0.73;11.9
16-Enero-2018 => Estacion: Cotocollao;0.77;18.73
17-Enero-2018 => Estacion: Cotocollao;0.42;18.98
18-Enero-2018 => Estacion: Cotocollao;0.55;14.46
19-Enero-2018 => Estacion: Cotocollao;0.64;15.71
20-Enero-2018 => Estacion: Cotocollao;0.65;14.37
21-Enero-2018 => Estacion: Cotocollao;0.42;11.68
22-Enero-2018 => Estacion: Cotocollao;0.49;11.45
23-Enero-2018 => Estacion: Cotocollao;0.72;16.24
24-Enero-2018 => Estacion: Cotocollao;0.66;17.51
25-Enero-2018 => Estacion: Cotocollao;0.64;15.01
26-Enero-2018 => Estacion: Cotocollao;0.87;21.65
27-Enero-2018 => Estacion: Cotocollao;0.72;20.61
28-Enero-2018 => Estacion: Cotocollao;0.56;13.7
29-Enero-2018 => Estacion: Cotocollao;0.86;19.87
30-Enero-2018 => Estacion: Cotocollao;0.7;22.18
31-Enero-2018 => Estacion: Cotocollao;0.82;24.32
01-Enero-2018 => Estacion: Carapungo;0.5;33.68
02-Enero-2018 => Estacion: Carapungo;0.79;33.32
03-Enero-2018 => Estacion: Carapungo;0.68;27.95
04-Enero-2018 => Estacion: Carapungo;0.57;28.02
05-Enero-2018 => Estacion: Carapungo;0.53;25.74
06-Enero-2018 => Estacion: Carapungo;0.59;22.6
07-Enero-2018 => Estacion: Carapungo;0.46;24.03
08-Enero-2018 => Estacion: Carapungo;0.52;24.32
09-Enero-2018 => Estacion: Carapungo;0.67;31.16
10-Enero-2018 => Estacion: Carapungo;0.56;28.78
11-Enero-2018 => Estacion: Carapungo;0.62;31.09
12-Enero-2018 => Estacion: Carapungo;0.42;30.96
13-Enero-2018 => Estacion: Carapungo;0.41;26.07
14-Enero-2018 => Estacion: Carapungo;0.37;16.58
15-Enero-2018 => Estacion: Carapungo;0.48;11.27
16-Enero-2018 => Estacion: Carapungo;0.54;18.12
17-Enero-2018 => Estacion: Carapungo;0.37;15.29
